Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
531483,,VIRTIND,VIRTUAL INDUSTRIES LTD.,Delisted,P ,10.00, ,Construction Materials,Equity
531485,,HITKARICH,HITKARI CHINA LTD.,Delisted,XD,10.00,INE839D01017,Furniture-Furnishing-Paints,Equity
531486,,FILME,FILMCITY MEDIA LTD.,Suspended,Z ,1.00,INE600B01033,Movies & Entertainment,Equity
531487,,SNEEL,SHREE NEELACHAL LABORATORIES LTD.,Delisted,Z ,10.00,INE694B01010,Pharmaceuticals,Equity
531488,,SANIM,SANYO IMPEX LTD.,Delisted,Z ,1.00,INE905A01020,Comm.Trading  & Distribution,Equity
531489,,CGVAK,CG-VAK SOFTWARE & EXPORTS LTD.,Active,X ,10.00,INE084D01010,IT Software Products,Equity
531490,,MANPELE,MANPELE,Delisted,Z ,10.00,NA          , ,Equity
531491,,BGROWTHDM,BOB GROWTH &#39;95,Delisted,Z ,10.00,NA          , ,Equity
531492,,PENTASOFTTE,PENTASOFT TECHNOLOGIES LTD.,Delisted,B ,10.00,INE408A01017,IT Software Products,Equity
531493,,MAXCOUN,MAXWORTH COUNTRY (INDIA) LTD.,Delisted,Z ,10.00,NA          , ,Equity
531494,,NAVBLDR,NAVKAR BUILDERS LTD.,Active,XT,10.00,INE268H01010,Realty,Equity
531495,,BLUECOAST,BLUE COAST HOTELS LTD.,Suspended,T ,10.00,INE472B01011,Hotels,Equity
531496,,OMKAR,OMKAR OVERSEAS LTD.,Active,XT,10.00,INE680D01015,Textiles,Equity
531497,,MADHUCON,MADHUCON PROJECTS LTD.-$,Active,T ,1.00,INE378D01032,Construction & Engineering,Equity
531498,,CLFILAM,CLASSIC FILAMENTS LTD.,Delisted,Z ,10.00,NA          , ,Equity
531499,,SYBLY,SYBLY INDUSTRIES LTD.-$,Active,XT,10.00,INE080D01042,Textiles,Equity
531500,,RAJESHEXPO,RAJESH EXPORTS LTD.,Active,A ,1.00,INE343B01030,Other Apparels & Accessories,Equity
531501,,INDENAL,INDEEN ALLOYS LTD.,Delisted,Z ,10.00,NA          , ,Equity
531502,,ESARIND,ESAAR (INDIA) LTD.,Active,X ,10.00,INE404L01039,Misc.Commercial Services,Equity
531503,,MARIS,MARIS SPINNERS LTD.-$,Active,XT,10.00,INE866D01010,Textiles,Equity
531504,,GRWESIN,GREAT WESTERN INDUSTRIES LTD.,Delisted,P ,10.00,NA          ,Other Agricultural Products,Equity
531505,,INDERGR,INDERGIRI FINANCE LTD.,Active,X ,10.00,INE628F01019,Finance (including NBFCs),Equity
531506,,SKRABUL,SHUKRA BULLIONS LTD.,Active,X ,10.00,INE561E01015,Misc.Commercial Services,Equity
531507,,SOMPHYT,SOM PHYTOPHARMA (I) LTD.,Delisted,Z ,10.00,NA          , ,Equity
531508,,EVEREADY,EVEREADY INDUSTRIES INDIA LTD.,Active,A ,5.00,INE128A01029,Non-Durable Household Prod.,Equity
531509,,STEP2COR,STEP TWO CORPORATION LTD.,Active,XT,10.00,INE623D01015,Other Financial Services,Equity
531510,,LINTAS,LINTAS MERCANTILE LTD.,Delisted,XD,10.00,INE702D01017,Comm.Trading  & Distribution,Equity
531511,,NEVTIAS,NEVTIA SPINNERS LTD.,Delisted,Z ,10.00,NA          , ,Equity
531512,,ORIENTTR,ORIENT TRADELINK LTD.,Suspended,XT,2.00,INE681D01021,Movies & Entertainment,Equity
531513,,ARIHCLAF,ARIHANT CLASSIC FINANCE LTD.,Delisted,B ,10.00,INE763C01011, ,Equity
531514,,AASHEESH,AASHEESH SECURITIES LTD.,Delisted,X ,10.00,INE174C01011,Finance (including NBFCs),Equity
531515,,MAHANIN,MAHAN INDUSTRIES LTD.,Active,X ,10.00,INE735D01033,Comm.Trading  & Distribution,Equity
531516,,EMKAYIN,EMKAY INDUSTRIES LTD.,Delisted,P ,10.00,NA          ,Copper,Equity
531517,,ALANGIND,ALANG INDUSTRIAL GASES LTD.,Suspended,X ,10.00,INE848C01010,Industrial Gases,Equity
531518,,VIKASPROP,Vikas Proppant & Granite Ltd,Active,B ,1.00,INE767B01022,Other Agricultural Products,Equity
531519,,ANKUSHFI,ANKUSH FINSTOCK LTD.,Suspended,Z ,10.00,INE784D01015,Other Financial Services,Equity
531520,,PANIND,PAN INDIA RESORT & LAND DEVELOPMENT LTD.,Delisted,XD,10.00,INE381D01010,Hotels,Equity
531521,,DESHRAK,DESH RAKSHAK AUSHDHALAYA LTD.,Active,P ,10.00,INE971E01016,Pharmaceuticals,Equity
531522,,RASOYPR,RASOYA PROTEINS LTD.,Delisted,Z ,1.00,INE904G01038,Edible Oils,Equity
531523,,PALPEUG,PAL-PEUGEOT LTD.,Delisted,Z ,10.00,NA          , ,Equity
531524,,ICSA,ICSA (INDIA) LTD.-$,Suspended,Z ,2.00,INE306B01029,Other Elect.Equip./ Prod.,Equity
531525,,ACESOFT,ACE SOFTWARE EXPORTS LTD.-$,Active,X ,10.00,INE849B01010,IT Software Products,Equity
531526,,RADRO,RADIANT ROTOGRAVURE LTD.,Delisted,P ,10.00,INE864C01017,Containers & Packaging,Equity
531527,,LLORF,LLOYD ROCKFIBRES LTD.,Delisted,P ,10.00,INE640D01019,Furniture-Furnishing-Paints,Equity
531528,,MAARSOFTW,MAARS SOFTWARE INTERNATIONAL LTD.,Delisted,XT,10.00,INE390A01017,IT Software Products,Equity
531529,,SOFTRAKV,SOFTRAK VENTURE INVESTMENT LTD.,Suspended,X ,10.00,INE562E01013,Finance (including NBFCs),Equity
531530,,BETALA,BETALA GLOBAL SECURITIES LTD.,Suspended,XT,10.00,INE658E01027,Other Financial Services,Equity
531531,,HATSUN,HATSUN AGRO PRODUCT LTD.,Active,A ,1.00,INE473B01035,Packaged Foods,Equity
531532,,GLORYCH,GLORY CHEMICALS LTD.,Delisted,Z ,10.00,NA          , ,Equity
531533,,ECOM,E.COM INFOTECH (I) LTD.,Active,XT,10.00,INE578B01015,IT Consulting & Software,Equity
531534,,AMEREDM,AMERICAN REMEDIES LTD.,Delisted,B ,10.00,INE315A01014, ,Equity
531535,,CANVYCH,CANVAY CHEMICALS LTD.,Delisted,P ,10.00, ,Commodity Chemicals,Equity
531536,,SRIMT,SRIVEN MULTI-TECH LTD.,Suspended,Z ,10.00,INE004B01012,IT Consulting & Software,Equity
531537,,JYOTHI,JYOTHI INFRAVENTURES LTD.,Suspended,XT,10.00,INE681K01018,Misc.Commercial Services,Equity
531538,,SHAYONA,SHAYONA PETROCHEM LTD.,Delisted,X ,10.00,INE627B01010,Comm.Trading  & Distribution,Equity
531539,,RISHDIGA,RISHABH DIGHA STEEL & ALLIED PRODUCTS LTD.-$,Active,X ,10.00,INE864D01015,Iron & Steel/Interm.Products,Equity
531540,,MAINFRA,MARUTI INFRASTRUCTURE LTD.,Active,X ,10.00,INE392G01010,Construction & Engineering,Equity
531541,,KOBO,Kobo Biotech Ltd-$,Active,Z ,10.00,INE881A01015,Commodity Chemicals,Equity
531543,,JINDWORLD,JINDAL WORLDWIDE LTD.,Active,B ,1.00,INE247D01039,Textiles,Equity
531544,,VERTEXSPG,VERTEX SPINNING LTD.,Delisted,Z ,10.00,INE863F01038,Comm.Trading  & Distribution,Equity
531545,,SURSTON,SURAJ STONE CORPORATION LTD.,Delisted,Z ,10.00,INE272F01016, ,Equity
531546,,WALFARM,WALVEKAR FARMS & FOOD PRODUCTS LTD.,Delisted,Z ,10.00,NA          , ,Equity
531547,,TIRIN,TIRUPATI INDUSTRIES (INDIA) LTD.,Suspended,Z ,10.00,INE329E01017,Other Agricultural Products,Equity
531548,,SOMANYCERA,SOMANY CERAMICS LTD.,Active,A ,2.00,INE355A01028,Furniture-Furnishing-Paints,Equity
531549,,AGRIMAS,AGRIMAS CHEMICALS LTD.,Delisted,Z ,10.00,NA          , ,Equity
531550,,JHACC,JHAVERI CREDITS & CAPITAL LTD.,Active,X ,10.00,INE865D01012,Other Financial Services,Equity
531551,,INCORPI,INTERCORP INDUSTRIES LTD.,Delisted,ZP,10.00,NA          ,Comm.Trading  & Distribution,Equity
531552,,RAGHUTOB,RAGHUNATH TOBACCO CO.LTD.,Active,XT,10.00,INE754B01012,Realty,Equity
531553,,DRL,Disha Resources Ltd,Active,XT,10.00,INE193D01019,Misc.Commercial Services,Equity
531554,,TOPTELE,TOP TELEMEDIA LTD.,Delisted,XD,10.00,INE632B01036,Movies & Entertainment,Equity
531555,,KAMINIS,KAMINI ISPAT LTD.,Delisted,Z ,10.00,NA          , ,Equity
531556,,CORALFINAC,CORAL INDIA FINANCE & HOUSING LTD.,Active,B ,2.00,INE558D01021,Housing Finance ,Equity
531557,,AMITSEC,AMIT SECURITIES LTD.,Suspended,Z ,10.00,INE137E01014,Finance (including NBFCs),Equity
531558,,BHARFOR,BHARFOR,Delisted,Z ,10.00,NA          , ,Equity
531559,,FEDERBK,FEDERBK,Delisted,Z ,10.00,NA          , ,Equity
531560,,AROMAENT,AROMA ENTERPRISES (INDIA) LTD.,Active,Z ,10.00,INE371M01012,Misc.Commercial Services,Equity
531561,,AKASHSG,AKASH HOUSING LTD.,Delisted,Z ,10.00,NA          , ,Equity
531563,,PAMRAFI,PAM RAFFIA LTD.,Delisted,Z ,10.00,NA          , ,Equity
531564,,WELCO,WELCOME COIR INDUSTRIES LTD.,Delisted,Z ,10.00,INE818C01013, ,Equity
531565,,INDOPACIFIC,Indo Pacific Projects Ltd,Suspended,Z ,1.00,INE077C01024,Realty,Equity
531566,,LILACPW,LILAC POWER LTD.,Delisted,Z ,10.00,NA          , ,Equity
531567,,VIZARAG,VIZAR AGROCHEMICALS LTD.,Delisted,Z ,10.00,NA          , ,Equity
531568,,ASHUTPM,ASHUTOSH PAPER MILLS LTD.,Active,XT,10.00,INE723K01018,Paper & Paper Products,Equity
531569,,SANJIVIN,SANJIVANI PARANTERAL LTD.,Suspended,XT,10.00,INE860D01013,Pharmaceuticals,Equity
531570,,BLAZONMRB,BLAZON MARBLES LIMITED,Suspended,X ,2.00,INE096H01023,Construction Materials,Equity
531571,,PLUSFIN,PLUS FINANCE LTD.,Delisted,P ,10.00, ,Finance (including NBFCs),Equity
531572,,RANJITSE,RANJIT SECURITIES LTD.,Suspended,X ,10.00,INE863D01017,Finance (including NBFCs),Equity
531573,,CRESTER,CRESTER SECURITIES LTD.,Delisted,Z ,10.00,NA          , ,Equity
531574,,VASINFRA,VAS INFRASTRUCTURE LTD.,Active,XT,10.00,INE192C01013,Realty,Equity
531575,,HPMINDL,HPM INDUSTRIES LTD.,Delisted,Z ,10.00,NA          , ,Equity
531576,,MTCAPLS,MEHTA CAPLEASE LTD.,Delisted,Z ,10.00,NA          , ,Equity
531578,,KMFBLDR,KMF BUILDERS & DEVELOPERS LTD.,Active,X ,5.00,INE580H01026,Realty,Equity
531579,,KEMICARE,KEMICARE PRODUCTS LTD.,Delisted,B ,10.00,INE784C01017, ,Equity
531581,,ALKADIA,ALKA DIAMOND INDUSTRIES LTD.,Suspended,Z ,10.00,INE963D01015,Other Apparels & Accessories,Equity
531582,,BERYLSE,BERYL SECURITIES LTD.,Active,XT,10.00,INE508J01015,Finance (including NBFCs),Equity
531583,,RAP,RAP MEDIA LTD.,Active,X ,10.00,INE483D01014,Finance (including NBFCs),Equity
531584,,MARTEXT,MARSON&#39;S TEXTILES LTD.,Delisted,Z ,10.00,NA          , ,Equity
531585,,DEVINE,DEVINE IMPEX LTD.,Active,XT,10.00,INE455C01014,Comm.Trading  & Distribution,Equity
531587,,KNIWE,KNITWORTH EXPORTS LTD.,Delisted,Z ,10.00,INE171C01017,Other Apparels & Accessories,Equity
531588,,ADITYAIN,ADITYA INTERNATIONAL LTD.,Delisted,B ,10.00,INE908B01014, ,Equity
531589,,GEDEVEL,GENESIS DEVELOPERS & RESORTS LTD.,Delisted,Z ,10.00,NA          , ,Equity
531590,,BILPOWER,BILPOWER LTD.,Delisted,Z ,10.00,INE952D01018,Other Elect.Equip./ Prod.,Equity
531591,,BAMPSL,BAMPSL SECURITIES LTD.,Active,XT,10.00,INE802A01037,Finance (including NBFCs),Equity
531592,,GENPHARMA,Generic Pharmasec Ltd,Active,X ,1.00,INE861N01036,Specialty Chemicals,Equity
531593,,AROCSIL,AROCHEM SILVASSA LTD.,Delisted,P ,10.00,NA          ,Commodity Chemicals,Equity
531594,,INCON,INCON ENGINEERS LTD.,Active,XT,10.00,INE507D01010,Industrial Machinery,Equity
531595,,CGCL,Capri Global Capital Limited,Active,A ,2.00,INE180C01026,Finance (including NBFCs),Equity
531596,,VISALAG,VISHAL AGRITECH INDIA LTD.,Delisted,Z ,10.00,NA          , ,Equity
531597,,MIDPOLY,MIDLAND POLYMERS LTD.,Suspended,XT,1.00,INE046M01028,Commodity Chemicals,Equity
531598,,NIMBUSFOO,NIMBUS FOODS INDUSTRIES LTD.,Suspended,Z ,1.00,INE301B01020,Packaged Foods,Equity
531599,,FDC,FDC LTD.,Active,A ,1.00,INE258B01022,Pharmaceuticals,Equity
531600,,GOGIACAP,Gogia Capital Services Limited,Active,XT,10.00,INE832C01014,Other Financial Services,Equity
531601,,GCVSERV,GCV Services Limited,Delisted,XT,1.00,INE236B01036,Misc.Commercial Services,Equity
531602,,KOFFBREAK,KOFFEE BREAK PICTURES LTD.,Suspended,Z ,1.00,INE208D01023,Movies & Entertainment,Equity
531603,,SAWACA,SAWACA COMMUNICATION LTD.,Delisted,XD,10.00,INE185B01019,Other Telecom Services,Equity
531604,,SRIKAND,SRI SKANDAN INDUSTRIES LTD.,Delisted,P ,10.00,NA          ,Packaged Foods,Equity
531605,,LLOYDCE,LLOYD CEMENTS LTD.,Delisted,Z ,10.00,NA          , ,Equity
531606,,ICPSECL,ICP SECURITIES LTD.,Delisted,Z ,10.00,NA          , ,Equity
531607,,MFLHF,MFL HOUSING FINANCE LTD.,Delisted,Z ,10.00,INE574C01012, ,Equity
531608,,GORANIN,GORANI INDUSTRIES LTD.,Active,X ,10.00,INE792J01015,Houseware,Equity
531609,,KGPETRO,KG PETROCHEM LTD.,Active,XT,10.00,INE902G01016,Textiles,Equity
531610,,UFMINDL,UFM INDUSTRIES LTD.,Suspended,P ,10.00,INE832E01010,Other Food Products,Equity
531611,,AADHAARVEN,AADHAAR VENTURES INDIA LTD.,Suspended,XT,10.00,INE063D01030,Finance (including NBFCs),Equity
531612,,KGNIND,KGN INDUSTRIES LTD.,Suspended,Z ,1.00,INE196C01022,Exploration & Production,Equity
531613,,MAL,Meyer Apparel Ltd,Active,XT,3.00,INE100C01024,Other Apparels & Accessories,Equity
531614,,MICRONC,MICRON CHEMICALS LTD.,Delisted,Z ,10.00,NA          , ,Equity
531615,,ERABUILD,Era Buildsys Limited,Suspended,Z ,2.00,INE040E01028,Finance (including NBFCs),Equity
531616,,STARCOM,Starcom Information Technology Ltd,Active,XT,10.00,INE347I01010,IT Consulting & Software,Equity
531617,,OSIAIND,OSIAN INDUSTRIES LTD.,Delisted,XT,10.00,INE634M01013,Fibres & Plastics,Equity
531618,,MARALFN,MARAL FINANCE LTD.,Delisted,Z ,10.00,NA          , ,Equity
531620,,ENEPRO,ENERGY PRODUCTS (INDIA) LTD.,Delisted,X ,10.00,INE718D01013,Packaged Foods,Equity
531621,,CENTERAC,CENTERAC TECHNOLOGIES LTD.,Active,XT,1.00,INE157B01026,Internet Software & Services,Equity
531623,,JYOTPOL,JYOTI POLY VINYL LTD.,Delisted,P ,10.00,NA          ,Fibres & Plastics,Equity
531624,,COUNCODOS,COUNTRY CONDO&#39;S LTD.,Active,T ,1.00,INE695B01025,Realty,Equity
531625,,SANHP,SANGAM HEALTH CARE PRODUCTS LTD.,Suspended,P ,10.00,INE431E01011,Pharmaceuticals,Equity
531626,,OROSMITHS,OROSIL SMITHS INDIA LTD.-$,Active,X ,1.00,INE628B01034,Other Apparels & Accessories,Equity
531627,,RAGHAVAEPL,Raghava Estates and Properties Ltd,Delisted,ZP,10.00,INE348J01016,Realty,Equity
531628,,TEJASSVI,Tejassvi Aaharam Ltd,Active,P ,10.00,INE173E01019,Textiles,Equity
531629,,RICHF,RICH GOLD FINANCE AND SECURITIES LTD.,Delisted,Z ,10.00,INE885D01010, ,Equity
531630,,CANOPYS,CANOPY SECURITIES & FINANCE LTD.,Delisted,Z ,10.00,NA          , ,Equity
531632,,AVINF,AVINASH INFORMATION TECHNOLOGIES LTD.,Delisted,Z ,10.00,INE452C01011,Comm.Trading  & Distribution,Equity
531633,,LINCOPH,LINCOLN PHARMACEUTICALS LTD.,Active,A ,10.00,INE405C01035,Pharmaceuticals,Equity
531634,,ROYINDL,ROYAL INDUSTRIES LTD.,Delisted,Z ,10.00,NA          , ,Equity
531635,,SILVOAK,SILVER OAK (INDIA) LTD.,Active,XT,10.00,INE870J01019,Breweries & Distilleries,Equity
531636,,TUSEXPO,TUSCON EXPORTS LTD.,Delisted,Z ,10.00,NA          , ,Equity
531637,,PRAVEG,Praveg Communications (India) Ltd,Active,X ,10.00,INE722B01019,Advertising & Media,Equity
531638,,SURAJLTD,SURAJ LTD.-$,Active,X ,10.00,INE713C01016,Iron & Steel Products,Equity
531639,,ROCHEBRE,ROCHEES BREWERIES LTD.,Delisted,B ,10.00,INE382D01018, ,Equity
531640,,SICL,Suvidha Infraestate Corporation Limited,Active,P ,10.00,INE936N01010,Realty,Equity
531642,,MARICO,MARICO LTD.,Active,A ,1.00,INE196A01026,Personal Products,Equity
531643,,ASRAGRO,ASR AGRO LTD.,Delisted,Z ,10.00,NA          , ,Equity
531644,,TOKYOFIN,TOKYO FINANCE LTD.,Active,X ,10.00,INE546D01018,Finance (including NBFCs),Equity
531645,,SOUISPAT,Southern Ispat and Energy Ltd-$,Suspended,XT,1.00,INE943B01029,Iron & Steel/Interm.Products,Equity
531646,,RFLINT,RFL INTERNATIONAL LTD.,Suspended,XT,10.00,INE701D01035,Finance (including NBFCs),Equity
531647,,BJDUP,B.J.DUPLEX BOARDS LTD.,Suspended,X ,10.00,INE265C01017,Paper & Paper Products,Equity
531648,,MAHAVIRIND,Mahavir Industries Limited,Active,XT,5.00,INE987M01023,Copper,Equity
531649,,WERTERNIN,WESTERN INDUSTRIES LTD.,Delisted,XD,10.00,INE728C01014,Comm.Trading  & Distribution,Equity
531650,,VAXHS,VAX HOUSING FINANCE CORPORATION LTD.,Suspended,Z ,10.00,INE761B01017,Misc.Commercial Services,Equity
531651,,NATGENI,NATIONAL GENERAL INDUSTRIES LTD.,Active,XT,10.00,INE654H01011,Iron & Steel/Interm.Products,Equity
531652,,THIRDFIN,THIRDWAVE FINANCIAL INTERMEDIARIES LTD.,Active,XT,10.00,INE528C01018,Finance (including NBFCs),Equity
531653,,CHABRASP,CHHABRA SPINNERS LTD.,Suspended,X ,10.00,INE420D01016,Textiles,Equity
531655,,CHETAKS,CHETAK SPINTEX LTD.,Delisted,P ,10.00,NA          ,Textiles,Equity
531656,,CRYPTAG,CRYPTOGEN AGRO INDUSTRIES LTD.,Delisted,P ,10.00,NA          ,Other Agricultural Products,Equity
531657,,RANXLAB,RANXLAB,Delisted,Z ,10.00,NA          , ,Equity
531658,,TRIJAL,TRIJAL INDUSTRIES LTD.,Active,X ,10.00,INE454E01013,Finance (including NBFCs),Equity
531659,,TSL,TSL INDUSTRIES LTD.,Suspended,Z ,10.00,INE547D01016,Finance (including NBFCs),Equity
531660,,GLOBALFIL,GLOBAL FILMS & BROADCASTING LTD.,Delisted,Z ,1.00,INE174D01027,Other Leisure Facilities,Equity
531661,,HITTCO,HITTCO TOOLS LTD.,Active,XT,10.00,INE863C01019,Industrial Machinery,Equity
531662,,PSCABLE,PASHUPATI CABLES LTD.,Delisted,P ,10.00,NA          ,Other Elect.Equip./ Prod.,Equity
531663,,YUVRAAJHPL,YUVRAAJ HYGIENE PRODUCTS LTD.,Suspended,XT,1.00,INE139D01020,Household Products,Equity
531664,,MAHAV,MAHAVIR IMPEX LTD.,Delisted,Z ,5.00,INE997B01025,Comm.Trading  & Distribution,Equity
531665,,JAYNTPA,JAYNTPA,Delisted,Z ,10.00,NA          , ,Equity
531666,,ARHNTIN,ARHNTIN,Delisted,Z ,10.00, , ,Equity
531667,,RRMETAL,RR MetalMakers India Ltd,Active,X ,10.00,INE117K01013,Comm.Trading  & Distribution,Equity
531668,,VISIONCO,VISION CORPORATION LTD.,Active,XT,10.00,INE661D01015,Movies & Entertainment,Equity
531669,,NISUFIN,NISU FINCAP LTD.,Delisted,Z ,10.00,NA          , ,Equity
531670,,CLASSICB,CLASSIC BIOTECH & EXPORTS LTD.,Delisted,XT,10.00,INE038C01018,Other Agricultural Products,Equity
531671,,BISIL,Bisil Plast Limited,Suspended,XT,1.00,INE214D01021,Containers & Packaging,Equity
